instruction,intent,instruction_hi,intent_hi
how do i cancel order {{Order Number}},cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द करूं,आदेश रद्द
"I bought some articles, help me to cancel order {{Order Number}}",cancel_order,"मैंने कुछ लेख खरीदे, मुझे ऑर्डर {{ऑर्डर नंबर}} रद्द करने में मदद करें",आदेश रद्द
need assistance cancelling order {{Order Number}},cancel_order,सहायता रद्द करने की आवश्यकता है आदेश {{आदेश संख्या}},आदेश रद्द
where to cancel purchase {{Order Number}},cancel_order,कहां खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
I want help canceling order {{Order Number}},cancel_order,मैं आदेश रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I want help cancellkng purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने में मदद करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I need help with cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I want assistance to cancel order {{Order Number}},cancel_order,मैं आदेश को रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I want assistance to cancel order {{Order Number}},cancel_order,मैं आदेश को रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
need assistance cancelling purchase {{Order Number}},cancel_order,खरीद को रद्द करने की आवश्यकता है {{ऑर्डर नंबर}}},आदेश रद्द
where can I cancel order {{Order Number}}?,cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
have problems with canceling order {{Order Number}},cancel_order,ऑर्डर को रद्द करने में समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
where can I cancel order {{Order Number}}?,cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
I can no longer pay for order {{Order Number}},cancel_order,मैं अब आदेश के लिए भुगतान नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
I can't afford purchase {{Order Number}},cancel_order,मैं खरीद नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,"मैं खरीद {{ऑर्डर नंबर}} को रद्द करना चाहूंगा, मुझे मदद की ज़रूरत है",आदेश रद्द
i do not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
help with cancelling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
i want help cancelling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
"I can no longer afford order {{Order Number}}, help me cancel it",cancel_order,"मैं अब आदेश नहीं दे सकता {{ऑर्डर नंबर}}, मुझे इसे रद्द करने में मदद करें",आदेश रद्द
need assistance canceling order {{Order Number}},cancel_order,आदेश रद्द करने की आवश्यकता है आदेश {{आदेश संख्या}}},आदेश रद्द
I have problems with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
I want assistance canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
would it be possible to cancel purchase {{Order Number}},cancel_order,क्या खरीद रद्द करना संभव होगा {{ऑर्डर नंबर}},आदेश रद्द
could you help me canceling purchase {{Order Number}}?,cancel_order,क्या आप खरीदारी को रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
I want help to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
help with cancelling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
assistance with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
cance order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
can uhelp me cancelling purchase {{Order Number}},cancel_order,क्या मुझे खरीद रद्द कर सकते हैं {{ऑर्डर नंबर}}},आदेश रद्द
how could icancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द कर सकता हूं,आदेश रद्द
i need assistance canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i do not knwo how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
"I have ordered some article, cancel purchase {{Order Number}}",cancel_order,"मैंने कुछ लेख का आदेश दिया है, खरीद रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
need to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने की आवश्यकता है {{ऑर्डर नंबर}}},आदेश रद्द
have problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
i no longer want purchase  {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदना नहीं चाहता,आदेश रद्द
want help to cancel purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करना चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
question about canceling order {{Order Number}},cancel_order,आदेश रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel purchase {{Order Number}} ?,cancel_order,क्या खरीद को रद्द करना संभव है {{ऑर्डर नंबर}}?,आदेश रद्द
have a question about cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के बारे में एक प्रश्न है {{ऑर्डर नंबर}},आदेश रद्द
I need assistance to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
help with canceling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I need help with canceling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}},आदेश रद्द
iwant assistance canceling order {{Order Number}},cancel_order,iwant सहायता रद्द करने के आदेश {{आदेश संख्या}},आदेश रद्द
have problems with canceling order  {{Order Number}},cancel_order,ऑर्डर को रद्द करने में समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
i wan help to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करने में मदद करता हूं,आदेश रद्द
i need help cancelling puchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I can no longer afford order {{Order Number}},cancel_order,मैं अब आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
"I have got to cancel purchase {{Order Number}}, how do I do it?",cancel_order,"मुझे खरीद रद्द करने के लिए {{ऑर्डर नंबर}}, मैं इसे कैसे करूं?",आदेश रद्द
i need help with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
cancel purchase {{Order Number}},cancel_order,खरीदें {{ऑर्डर नंबर}} खरीदें,आदेश रद्द
assistance with canceling oreder {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
problems with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel purchase {{Order Number}},cancel_order,क्या खरीद रद्द करना संभव है {{ऑर्डर नंबर}}},आदेश रद्द
I need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i do not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
I no longer want purchase {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदना नहीं चाहता,आदेश रद्द
can you help me cancelling purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
assistance cancelling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
I need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I don't want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
"I bought some items, I need help to cancel purchase {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, मुझे खरीद को रद्द करने में मदद की ज़रूरत है {{ऑर्डर नंबर}}",आदेश रद्द
could you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
cancel purchase {{Order Number}},cancel_order,खरीदें {{ऑर्डर नंबर}} खरीदें,आदेश रद्द
problem with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
cancel purchase {{Order Number}},cancel_order,खरीदें {{ऑर्डर नंबर}} खरीदें,आदेश रद्द
where do i cancel purchase {{Order Number}},cancel_order,मैं खरीदें {{ऑर्डर नंबर}} कहां रद्द करूं,आदेश रद्द
need help with cancelliing order {{Order Number}},cancel_order,Cancelliing ऑर्डर {{ऑर्डर नंबर}} के साथ मदद चाहिए,आदेश रद्द
I have problems with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel order {{Order Number}}?,cancel_order,क्या ऑर्डर {{ऑर्डर नंबर}} को रद्द करना संभव है?,आदेश रद्द
i havegot to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए मिला है {{ऑर्डर नंबर}}},आदेश रद्द
"I cannot pay for this product, cancel order {{Order Number}}",cancel_order,"मैं इस उत्पाद के लिए भुगतान नहीं कर सकता, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
I don't know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं {{ऑर्डर नंबर}} खरीद को कैसे रद्द कर सकता हूं,आदेश रद्द
help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
would you give me information about cancelling orders?,cancel_order,क्या आप मुझे आदेश रद्द करने के बारे में जानकारी देंगे?,आदेश रद्द
I need assistance with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
canceling purchase {{Order Number}},cancel_order,खरीद रद्द करें {{ऑर्डर नंबर}},आदेश रद्द
"I can't afford my last item, cancel purchase {{Order Number}}",cancel_order,"मैं अपना अंतिम आइटम बर्दाश्त नहीं कर सकता, खरीदें {{ऑर्डर नंबर}}",आदेश रद्द
I cannot afford order {{Order Number}},cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
have problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
I have a problem with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
question about canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
I have got to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए मिला है {{ऑर्डर नंबर}}},आदेश रद्द
"I can't afford order {{Order Number}}, could I cancel it?",cancel_order,"मैं आदेश {{ऑर्डर नंबर}} नहीं खरीद सकता, क्या मैं इसे रद्द कर सकता हूं?",आदेश रद्द
i dont know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}},आदेश रद्द
"I don't want this item, help me cancel purchase {{Order Number}}",cancel_order,"मुझे यह आइटम नहीं चाहिए, मुझे खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}}",आदेश रद्द
i need assistance with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
have a problem with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ एक समस्या है {{ऑर्डर नंबर}},आदेश रद्द
"I can't afford this product, cancel order {{Order Number}}",cancel_order,"मैं इस उत्पाद को बर्दाश्त नहीं कर सकता, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
cancel purchase  {{Order Number}},cancel_order,खरीदें {{ऑर्डर नंबर}},आदेश रद्द
could you help me canceling purchase {{Order Number}}?,cancel_order,क्या आप खरीदारी को रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
i try to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने का प्रयास करता हूं,आदेश रद्द
can you help me cancelling order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
what do I ned to do to cancel order {{Order Number}}?,cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करने की आवश्यकता है?,आदेश रद्द
i need help to cancel purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}}},आदेश रद्द
"I have bought some items, help canceling purchase {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे हैं, खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}}",आदेश रद्द
I need assistance canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
